task_id,sample_index,initial_state,final_state
Aiven-Open__pghoard-312,1,fail,fail
Aiven-Open__pghoard-312,2,fail,fail
Aiven-Open__pghoard-312,3,fail,fail
Aiven-Open__pghoard-390,1,fail,pass
Aiven-Open__pghoard-390,2,fail,fail
Aiven-Open__pghoard-390,3,fail,fail
Aiven-Open__pghoard-391,1,fail,fail
Aiven-Open__pghoard-391,2,fail,fail
Aiven-Open__pghoard-391,3,fail,fail
Aiven-Open__pghoard-557,1,fail,fail
Aiven-Open__pghoard-557,2,fail,pass
Aiven-Open__pghoard-557,3,fail,fail
BeehiveInnovations__zen-mcp-server-39,1,fail,fail
BeehiveInnovations__zen-mcp-server-39,2,fail,pass
BeehiveInnovations__zen-mcp-server-39,3,fail,pass
BeehiveInnovations__zen-mcp-server-89,1,fail,fail
BeehiveInnovations__zen-mcp-server-89,2,fail,fail
BeehiveInnovations__zen-mcp-server-89,3,fail,fail
BerriAI__litellm-12636,1,fail,pass
BerriAI__litellm-12636,2,fail,fail
BerriAI__litellm-12636,3,fail,fail
Breakthrough__PySceneDetect-269,1,fail,fail
Breakthrough__PySceneDetect-269,2,fail,fail
Breakthrough__PySceneDetect-269,3,fail,fail
CTFd__CTFd-2393,1,fail,fail
CTFd__CTFd-2393,2,fail,pass
CTFd__CTFd-2393,3,fail,fail
CTFd__CTFd-2425,1,fail,fail
CTFd__CTFd-2425,2,fail,fail
CTFd__CTFd-2425,3,fail,fail
CTFd__CTFd-2451,1,fail,fail
CTFd__CTFd-2451,2,fail,fail
CTFd__CTFd-2451,3,fail,pass
CTFd__CTFd-2494,1,fail,pass
CTFd__CTFd-2494,2,fail,fail
CTFd__CTFd-2494,3,fail,fail
CTFd__CTFd-2495,1,fail,fail
CTFd__CTFd-2495,2,fail,fail
CTFd__CTFd-2495,3,fail,fail
CTFd__CTFd-2583,1,fail,pass
CTFd__CTFd-2583,2,fail,pass
CTFd__CTFd-2583,3,fail,fail
CTFd__CTFd-2744,1,fail,fail
CTFd__CTFd-2744,2,fail,fail
CTFd__CTFd-2744,3,fail,fail
CTFd__CTFd-2767,1,fail,pass
CTFd__CTFd-2767,2,fail,fail
CTFd__CTFd-2767,3,fail,pass
CodeReclaimers__neat-python-71,1,fail,fail
CodeReclaimers__neat-python-71,2,fail,fail
CodeReclaimers__neat-python-71,3,fail,fail
D-Star-AI__dsRAG-37,1,fail,fail
D-Star-AI__dsRAG-37,2,fail,pass
D-Star-AI__dsRAG-37,3,fail,pass
D-Star-AI__dsRAG-46,1,fail,pass
D-Star-AI__dsRAG-46,2,fail,pass
D-Star-AI__dsRAG-46,3,fail,fail
DLR-RM__stable-baselines3-1671,1,fail,fail
DLR-RM__stable-baselines3-1671,2,fail,fail
DLR-RM__stable-baselines3-1671,3,fail,pass
DLR-RM__stable-baselines3-1720,1,fail,fail
DLR-RM__stable-baselines3-1720,2,fail,fail
DLR-RM__stable-baselines3-1720,3,fail,fail
DLR-RM__stable-baselines3-1742,1,fail,fail
DLR-RM__stable-baselines3-1742,2,fail,fail
DLR-RM__stable-baselines3-1742,3,fail,pass
DedSecInside__TorBot-316,1,fail,fail
DedSecInside__TorBot-316,2,fail,fail
DedSecInside__TorBot-316,3,fail,pass
DedSecInside__TorBot-51,1,fail,pass
DedSecInside__TorBot-51,2,fail,fail
DedSecInside__TorBot-51,3,fail,pass
Delgan__loguru-193,1,fail,fail
Delgan__loguru-193,2,fail,pass
Delgan__loguru-193,3,fail,pass
Delgan__loguru-575,1,fail,pass
Delgan__loguru-575,2,fail,fail
Delgan__loguru-575,3,fail,pass
DeppWang__youdaonote-pull-146,1,fail,fail
DeppWang__youdaonote-pull-146,2,fail,fail
DeppWang__youdaonote-pull-146,3,fail,fail
EnterpriseDB__barman-888,1,fail,fail
EnterpriseDB__barman-888,2,fail,pass
