task_id,sample_index,initial_state,final_state
pew-org__pew-187,1,fail,fail
quantumlib__OpenFermion-1086,1,fail,fail
dbcli__mssql-cli-396,1,fail,pass
dropbox__pyannotate-40,1,fail,pass
python-babel__babel-1203,1,fail,pass
python-injector__injector-98,1,fail,pass
Supervisor__supervisor-1299,1,fail,fail
cookiecutter__cookiecutter-2096,1,fail,fail
datastax__python-driver-1193,1,fail,fail
martinrusev__imbox-224,1,fail,fail
martinrusev__imbox-117,1,fail,fail
martinrusev__imbox-100,1,fail,fail
PyCQA__isort-2340,1,fail,fail
konradhalas__dacite-65,1,fail,fail
konradhalas__dacite-3,1,fail,pass
konradhalas__dacite-184,1,fail,fail
konradhalas__dacite-119,1,fail,fail
nosarthur__gita-105,1,fail,fail
novnc__websockify-602,1,fail,fail
alichtman__shallow-backup-243,1,fail,fail
lidatong__dataclasses-json-420,1,fail,pass
raphaelvallat__pingouin-391,1,fail,fail
facebookincubator__Bowler-23,1,fail,pass
jupyterhub__the-littlest-jupyterhub-1013,1,fail,fail
nbedos__termtosvg-35,1,fail,fail
simonw__sqlite-utils-189,1,fail,fail
casbin__pycasbin-242,1,fail,fail
ekalinin__nodeenv-358,1,fail,pass
pydata__numexpr-415,1,fail,fail
JelteF__PyLaTeX-87,1,fail,fail
feature-engine__feature_engine-803,1,fail,pass
google-research__arxiv-latex-cleaner-92,1,fail,pass
mljar__mljar-supervised-718,1,fail,pass
movingpandas__movingpandas-453,1,fail,fail
movingpandas__movingpandas-407,1,fail,fail
pynamodb__PynamoDB-1170,1,fail,pass
pynamodb__PynamoDB-1127,1,fail,pass
sqlalchemy__alembic-1372,1,fail,fail
strawberry-graphql__strawberry-3923,1,fail,pass
HBNetwork__python-decouple-124,1,fail,fail
colour-science__colour-1160,1,fail,pass
olofk__fusesoc-610,1,fail,fail
pydoit__doit-293,1,fail,fail
FactoryBoy__factory_boy-964,1,fail,pass
containers__podman-compose-1166,1,fail,fail
pre-commit__pre-commit-hooks-1025,1,fail,pass
pre-commit__pre-commit-3302,1,fail,fail
PyCQA__pyflakes-801,1,fail,fail
PyCQA__pyflakes-632,1,fail,fail
wee-slack__wee-slack-691,1,fail,fail
mesonbuild__meson-14611,1,fail,pass
rsalmei__alive-progress-113,1,fail,fail
bpython__bpython-996,1,fail,fail
crossbario__autobahn-python-1531,1,fail,fail
piskvorky__sqlitedict-37,1,fail,fail
salesforce__policy_sentry-526,1,fail,fail
textstat__textstat-37,1,fail,fail
textstat__textstat-172,1,fail,fail
textstat__textstat-100,1,fail,fail
Shopify__shopify_python_api-571,1,fail,fail
kellyjonbrazil__jc-652,1,fail,pass
kellyjonbrazil__jc-455,1,fail,fail
pollen-robotics__dtw-35,1,fail,fail
carpedm20__emoji-143,1,fail,pass
zhanyong-wan__dongbei-75,1,fail,fail
summanlp__textrank-36,1,fail,pass
GitGuardian__ggshield-1021,1,fail,pass
alexgolec__tda-api-145,1,fail,pass
hauntsaninja__pyp-3,1,fail,fail
DLR-RM__stable-baselines3-1742,1,fail,fail
koxudaxi__fastapi-code-generator-383,1,fail,fail
CTFd__CTFd-2767,1,fail,pass
andreafrancia__trash-cli-179,1,fail,pass
mewwts__addict-66,1,fail,fail
mewwts__addict-10,1,fail,pass
oauthlib__oauthlib-828,1,fail,fail
oauthlib__oauthlib-760,1,fail,fail
r1chardj0n3s__parse-68,1,fail,fail
r1chardj0n3s__parse-132,1,fail,pass
Pylons__waitress-247,1,fail,fail
duckdb__dbt-duckdb-530,1,fail,fail
jertel__elastalert2-1513,1,fail,fail
jertel__elastalert2-1328,1,fail,fail
jsvine__markovify-78,1,fail,fail
uncertainty-toolbox__uncertainty-toolbox-67,1,fail,fail
jaraco__keyring-638,1,fail,fail
breuleux__jurigged-19,1,fail,fail
jazzband__Watson-294,1,fail,pass
jcrist__msgspec-566,1,fail,fail
qdrant__qdrant-client-872,1,fail,pass
bndr__pipreqs-455,1,fail,fail
peterbrittain__asciimatics-266,1,fail,fail
Aiven-Open__pghoard-557,1,fail,fail
nickstenning__honcho-179,1,fail,fail
pmaupin__pdfrw-54,1,fail,fail
google__textfsm-16,1,fail,fail
linkedin__qark-199,1,fail,fail
patroni__patroni-3338,1,fail,fail
requests-cache__requests-cache-932,1,fail,fail
EnterpriseDB__barman-942,1,fail,fail
EnterpriseDB__barman-913,1,fail,fail
globocom__m3u8-375,1,fail,fail
globocom__m3u8-340,1,fail,fail
globocom__m3u8-282,1,fail,pass
globocom__m3u8-231,1,fail,fail
martinblech__xmltodict-362,1,fail,pass
martinblech__xmltodict-193,1,fail,fail
dabeaz__curio-160,1,fail,fail
graphite-project__whisper-200,1,fail,fail
pypose__pypose-279,1,fail,fail
SickChill__sickchill-8754,1,fail,fail
terryyin__lizard-248,1,fail,fail
basetenlabs__truss-1711,1,fail,fail
maxpumperla__hyperas-174,1,fail,fail
taskiq-python__taskiq-257,1,fail,pass
keleshev__schema-243,1,fail,fail
keleshev__schema-218,1,fail,fail
mozilla__bleach-691,1,fail,pass
mschwager__fierce-32,1,fail,fail
quodlibet__mutagen-664,1,fail,pass
bear__python-twitter-508,1,fail,pass
electricitymaps__electricitymaps-contrib-8232,1,fail,fail
mkaz__termgraph-87,1,fail,fail
niklasf__python-chess-927,1,fail,fail
Suor__funcy-89,1,fail,pass
kayak__pypika-742,1,fail,pass
sinaptik-ai__pandas-ai-1703,1,fail,fail
sinaptik-ai__pandas-ai-1643,1,fail,pass
TransformerOptimus__SuperAGI-1331,1,fail,pass
jd__tenacity-489,1,fail,pass
sympy__sympy-28102,1,fail,fail
automl__SMAC3-1186,1,fail,pass
chezou__tabula-py-254,1,fail,fail
chezou__tabula-py-113,1,fail,fail
peerchemist__finta-113,1,fail,pass
prowler-cloud__prowler-8274,1,fail,fail
SWE-bench__SWE-bench-370,1,fail,fail
jookies__jasmin-1044,1,fail,fail
mangiucugna__json_repair-43,1,fail,pass
mangiucugna__json_repair-16,1,fail,fail
noamgat__lm-format-enforcer-22,1,fail,pass
spulec__freezegun-546,1,fail,fail
spulec__freezegun-525,1,fail,pass
tensorly__tensorly-417,1,fail,fail
jmcnamara__XlsxWriter-783,1,fail,fail
keon__algorithms-868,1,fail,pass
alecthomas__voluptuous-524,1,fail,pass
kennethreitz__maya-97,1,fail,fail
D-Star-AI__dsRAG-46,1,fail,fail
Sceptre__sceptre-1513,1,fail,pass
Sceptre__sceptre-1469,1,fail,fail
qodo-ai__qodo-cover-322,1,fail,fail
rigetti__pyquil-1694,1,fail,fail
scrapy__scrapyd-343,1,fail,fail
koalalorenzo__python-digitalocean-324,1,fail,fail
koalalorenzo__python-digitalocean-268,1,fail,fail
mahmoud__boltons-375,1,fail,fail
robusta-dev__holmesgpt-545,1,fail,fail
asottile__pyupgrade-890,1,fail,pass
jendrikseipp__vulture-246,1,fail,fail
LazoVelko__Pokemon-Terminal-86,1,fail,pass
SoCo__SoCo-868,1,fail,fail
ReactiveX__RxPY-529,1,fail,pass
jupyterhub__repo2docker-1351,1,fail,fail
kronenthaler__mod-pbxproj-239,1,fail,fail
pyparsing__pyparsing-233,1,fail,fail
cornellius-gp__gpytorch-2375,1,fail,fail
langchain-ai__langchain-mcp-adapters-115,1,fail,pass
jldbc__pybaseball-323,1,fail,fail
nteract__papermill-812,1,fail,fail
MichaelGrupp__evo-240,1,fail,fail
intake__intake-493,1,fail,fail
ytdl-org__youtube-dl-31201,1,fail,fail
