task_id,sample_index,initial_state,final_state
pschanely__CrossHair-363,1,fail,fail
pschanely__CrossHair-363,2,fail,pass
pschanely__CrossHair-363,3,fail,pass
python-babel__babel-1188,1,fail,pass
python-babel__babel-1188,2,fail,fail
python-babel__babel-1188,3,fail,fail
martinrusev__imbox-97,1,fail,INVALID
martinrusev__imbox-97,2,fail,fail
martinrusev__imbox-97,3,fail,fail
PyCQA__isort-2264,1,fail,fail
PyCQA__isort-2264,2,fail,fail
PyCQA__isort-2264,3,fail,fail
konradhalas__dacite-117,1,fail,pass
konradhalas__dacite-117,2,fail,fail
konradhalas__dacite-117,3,fail,fail
lidatong__dataclasses-json-394,1,fail,pass
lidatong__dataclasses-json-394,2,fail,fail
lidatong__dataclasses-json-394,3,fail,fail
nschloe__tuna-58,1,fail,fail
nschloe__tuna-58,2,fail,fail
nschloe__tuna-58,3,fail,fail
sec-edgar__sec-edgar-309,1,fail,pass
sec-edgar__sec-edgar-309,2,fail,pass
sec-edgar__sec-edgar-309,3,fail,fail
movingpandas__movingpandas-471,1,fail,fail
movingpandas__movingpandas-471,2,fail,pass
movingpandas__movingpandas-471,3,fail,fail
pynamodb__PynamoDB-1121,1,fail,pass
pynamodb__PynamoDB-1121,2,fail,pass
pynamodb__PynamoDB-1121,3,fail,fail
cosmicpython__code-36,1,fail,pass
cosmicpython__code-36,2,fail,fail
cosmicpython__code-36,3,fail,fail
containers__podman-compose-1116,1,fail,pass
containers__podman-compose-1116,2,fail,pass
containers__podman-compose-1116,3,fail,fail
PyCQA__pyflakes-606,1,fail,fail
PyCQA__pyflakes-606,2,fail,fail
PyCQA__pyflakes-606,3,fail,fail
bpython__bpython-992,1,fail,fail
bpython__bpython-992,2,fail,fail
bpython__bpython-992,3,fail,pass
textstat__textstat-36,1,fail,fail
textstat__textstat-36,2,fail,fail
textstat__textstat-36,3,fail,fail
kellyjonbrazil__jc-608,1,fail,pass
kellyjonbrazil__jc-608,2,fail,fail
kellyjonbrazil__jc-608,3,fail,fail
Jules-WinnfieldX__CyberDropDownloader-513,1,fail,pass
Jules-WinnfieldX__CyberDropDownloader-513,2,fail,fail
Jules-WinnfieldX__CyberDropDownloader-513,3,fail,fail
pyinfra-dev__pyinfra-1349,1,fail,fail
pyinfra-dev__pyinfra-1349,2,fail,pass
pyinfra-dev__pyinfra-1349,3,fail,fail
lincolnloop__python-qrcode-323,1,fail,pass
lincolnloop__python-qrcode-323,2,fail,fail
lincolnloop__python-qrcode-323,3,fail,pass
r1chardj0n3s__parse-98,1,fail,fail
r1chardj0n3s__parse-98,2,fail,fail
r1chardj0n3s__parse-98,3,fail,fail
duckdb__dbt-duckdb-421,1,fail,fail
duckdb__dbt-duckdb-421,2,fail,fail
duckdb__dbt-duckdb-421,3,fail,fail
uncertainty-toolbox__uncertainty-toolbox-66,1,fail,pass
uncertainty-toolbox__uncertainty-toolbox-66,2,fail,pass
uncertainty-toolbox__uncertainty-toolbox-66,3,fail,fail
nvbn__thefuck-1292,1,fail,fail
nvbn__thefuck-1292,2,fail,pass
nvbn__thefuck-1292,3,fail,fail
graphistry__pygraphistry-562,1,fail,pass
graphistry__pygraphistry-562,2,fail,pass
graphistry__pygraphistry-562,3,fail,fail
linkedin__qark-196,1,fail,pass
linkedin__qark-196,2,fail,fail
linkedin__qark-196,3,fail,fail
EnterpriseDB__barman-888,1,fail,fail
EnterpriseDB__barman-888,2,fail,pass
EnterpriseDB__barman-888,3,fail,pass
jazzband__dj-database-url-199,1,fail,pass
jazzband__dj-database-url-199,2,fail,fail
jazzband__dj-database-url-199,3,fail,fail
graphql-python__graphene-1430,1,fail,fail
graphql-python__graphene-1430,2,fail,pass
graphql-python__graphene-1430,3,fail,pass
explosion__sense2vec-139,1,fail,fail
explosion__sense2vec-139,2,fail,fail
explosion__sense2vec-139,3,fail,fail
keleshev__schema-217,1,fail,pass
keleshev__schema-217,2,fail,fail
keleshev__schema-217,3,fail,pass
bear__python-twitter-465,1,fail,fail
bear__python-twitter-465,2,fail,pass
bear__python-twitter-465,3,fail,fail
deschler__django-modeltranslation-671,1,fail,fail
deschler__django-modeltranslation-671,2,fail,pass
deschler__django-modeltranslation-671,3,fail,pass
celery__django-celery-beat-899,1,fail,fail
celery__django-celery-beat-899,2,fail,fail
celery__django-celery-beat-899,3,fail,fail
chezou__tabula-py-251,1,fail,pass
chezou__tabula-py-251,2,fail,fail
chezou__tabula-py-251,3,fail,pass
django-guardian__django-guardian-838,1,fail,pass
django-guardian__django-guardian-838,2,fail,pass
django-guardian__django-guardian-838,3,fail,pass
rushter__MLAlgorithms-31,1,fail,fail
rushter__MLAlgorithms-31,2,fail,fail
rushter__MLAlgorithms-31,3,fail,fail
jmcnamara__XlsxWriter-408,1,fail,fail
jmcnamara__XlsxWriter-408,2,fail,fail
jmcnamara__XlsxWriter-408,3,fail,fail
D-Star-AI__dsRAG-37,1,fail,fail
D-Star-AI__dsRAG-37,2,fail,pass
D-Star-AI__dsRAG-37,3,fail,pass
rigetti__pyquil-1646,1,fail,fail
rigetti__pyquil-1646,2,fail,fail
rigetti__pyquil-1646,3,fail,pass
nschloe__perfplot-62,1,fail,fail
nschloe__perfplot-62,2,fail,fail
nschloe__perfplot-62,3,fail,fail
OWASP__Nettacker-1060,1,fail,fail
OWASP__Nettacker-1060,2,fail,pass
OWASP__Nettacker-1060,3,fail,pass
kronenthaler__mod-pbxproj-238,1,fail,pass
kronenthaler__mod-pbxproj-238,2,fail,pass
kronenthaler__mod-pbxproj-238,3,fail,fail
landing-ai__agentic-doc-70,1,fail,fail
landing-ai__agentic-doc-70,2,fail,fail
landing-ai__agentic-doc-70,3,fail,pass
eliben__pyelftools-404,1,fail,fail
eliben__pyelftools-404,2,fail,fail
eliben__pyelftools-404,3,fail,fail
cookiecutter__cookiecutter-1692,1,fail,fail
cookiecutter__cookiecutter-1692,2,fail,fail
cookiecutter__cookiecutter-1692,3,fail,pass
Zulko__moviepy-1837,1,fail,fail
Zulko__moviepy-1837,2,fail,pass
Zulko__moviepy-1837,3,fail,fail
pimutils__khal-1074,1,fail,pass
pimutils__khal-1074,2,fail,fail
pimutils__khal-1074,3,fail,pass
pexpect__pexpect-71,1,fail,pass
pexpect__pexpect-71,2,fail,fail
pexpect__pexpect-71,3,fail,fail
pyocd__pyOCD-1259,1,fail,fail
pyocd__pyOCD-1259,2,fail,pass
