task_id,sample_index,initial_state,final_state
SmileyChris__django-countries-460,1,fail,fail
SmileyChris__django-countries-460,2,fail,fail
SmileyChris__django-countries-460,3,fail,pass
tobgu__pyrsistent-221,1,fail,fail
tobgu__pyrsistent-221,2,fail,fail
tobgu__pyrsistent-221,3,fail,fail
martinrusev__imbox-153,1,fail,pass
martinrusev__imbox-153,2,fail,pass
martinrusev__imbox-153,3,fail,fail
konradhalas__dacite-34,1,fail,fail
konradhalas__dacite-34,2,fail,fail
konradhalas__dacite-34,3,fail,pass
nosarthur__gita-103,1,fail,fail
nosarthur__gita-103,2,fail,fail
nosarthur__gita-103,3,fail,fail
a13xp0p0v__kernel-hardening-checker-183,1,fail,fail
a13xp0p0v__kernel-hardening-checker-183,2,fail,pass
a13xp0p0v__kernel-hardening-checker-183,3,fail,fail
KMKfw__kmk_firmware-1072,1,fail,pass
KMKfw__kmk_firmware-1072,2,fail,pass
KMKfw__kmk_firmware-1072,3,fail,pass
feature-engine__feature_engine-856,1,fail,fail
feature-engine__feature_engine-856,2,fail,fail
feature-engine__feature_engine-856,3,fail,fail
movingpandas__movingpandas-440,1,fail,fail
movingpandas__movingpandas-440,2,fail,fail
movingpandas__movingpandas-440,3,fail,fail
sqlalchemy__alembic-1301,1,fail,fail
sqlalchemy__alembic-1301,2,fail,pass
sqlalchemy__alembic-1301,3,fail,fail
pydoit__doit-405,1,fail,fail
pydoit__doit-405,2,fail,fail
pydoit__doit-405,3,fail,fail
pre-commit__pre-commit-3425,1,fail,fail
pre-commit__pre-commit-3425,2,fail,fail
pre-commit__pre-commit-3425,3,fail,fail
Shpota__github-activity-generator-17,1,fail,fail
Shpota__github-activity-generator-17,2,fail,pass
Shpota__github-activity-generator-17,3,fail,fail
facebookresearch__fvcore-90,1,fail,fail
facebookresearch__fvcore-90,2,fail,fail
facebookresearch__fvcore-90,3,fail,pass
textstat__textstat-165,1,fail,fail
textstat__textstat-165,2,fail,pass
textstat__textstat-165,3,fail,fail
msgpack__msgpack-python-427,1,fail,pass
msgpack__msgpack-python-427,2,fail,fail
msgpack__msgpack-python-427,3,fail,fail
GitGuardian__ggshield-1094,1,fail,fail
GitGuardian__ggshield-1094,2,fail,fail
GitGuardian__ggshield-1094,3,fail,fail
borgmatic-collective__borgmatic-82,1,fail,fail
borgmatic-collective__borgmatic-82,2,fail,fail
borgmatic-collective__borgmatic-82,3,fail,pass
mewwts__addict-43,1,fail,fail
mewwts__addict-43,2,fail,pass
mewwts__addict-43,3,fail,fail
r1chardj0n3s__parse-53,1,fail,fail
r1chardj0n3s__parse-53,2,fail,fail
r1chardj0n3s__parse-53,3,fail,fail
jertel__elastalert2-1338,1,fail,pass
jertel__elastalert2-1338,2,fail,fail
jertel__elastalert2-1338,3,fail,fail
prometheus__client_python-1012,1,fail,fail
prometheus__client_python-1012,2,fail,pass
prometheus__client_python-1012,3,fail,fail
bee-san__pyWhat-157,1,fail,fail
bee-san__pyWhat-157,2,fail,fail
bee-san__pyWhat-157,3,fail,fail
pgvector__pgvector-python-72,1,fail,fail
pgvector__pgvector-python-72,2,fail,pass
pgvector__pgvector-python-72,3,fail,fail
patroni__patroni-3260,1,fail,pass
patroni__patroni-3260,2,fail,fail
patroni__patroni-3260,3,fail,fail
globocom__m3u8-368,1,fail,fail
globocom__m3u8-368,2,fail,fail
globocom__m3u8-368,3,fail,fail
martinblech__xmltodict-222,1,fail,fail
martinblech__xmltodict-222,2,fail,fail
martinblech__xmltodict-222,3,fail,fail
watson-developer-cloud__python-sdk-829,1,fail,fail
watson-developer-cloud__python-sdk-829,2,fail,fail
watson-developer-cloud__python-sdk-829,3,fail,pass
taskiq-python__taskiq-404,1,fail,fail
taskiq-python__taskiq-404,2,fail,fail
taskiq-python__taskiq-404,3,fail,fail
httpie__http-prompt-110,1,fail,fail
httpie__http-prompt-110,2,fail,fail
httpie__http-prompt-110,3,fail,fail
guardrails-ai__guardrails-1131,1,fail,pass
guardrails-ai__guardrails-1131,2,fail,pass
guardrails-ai__guardrails-1131,3,fail,pass
python-pendulum__pendulum-704,1,fail,fail
python-pendulum__pendulum-704,2,fail,fail
python-pendulum__pendulum-704,3,fail,pass
jd__tenacity-382,1,fail,fail
jd__tenacity-382,2,fail,fail
jd__tenacity-382,3,fail,pass
google__budou-22,1,fail,fail
google__budou-22,2,fail,pass
google__budou-22,3,fail,fail
mangiucugna__json_repair-96,1,fail,fail
mangiucugna__json_repair-96,2,fail,fail
mangiucugna__json_repair-96,3,fail,fail
spulec__freezegun-540,1,fail,pass
spulec__freezegun-540,2,fail,pass
spulec__freezegun-540,3,fail,fail
weaveworks__grafanalib-594,1,fail,fail
weaveworks__grafanalib-594,2,fail,pass
weaveworks__grafanalib-594,3,fail,pass
Sceptre__sceptre-1485,1,fail,fail
Sceptre__sceptre-1485,2,fail,fail
Sceptre__sceptre-1485,3,fail,fail
beetbox__beets-5708,1,fail,fail
beetbox__beets-5708,2,fail,fail
beetbox__beets-5708,3,fail,pass
run-llama__llama_deploy-480,1,fail,pass
run-llama__llama_deploy-480,2,fail,fail
run-llama__llama_deploy-480,3,fail,fail
circlemind-ai__fast-graphrag-24,1,fail,fail
circlemind-ai__fast-graphrag-24,2,fail,fail
circlemind-ai__fast-graphrag-24,3,fail,pass
DedSecInside__TorBot-316,1,fail,fail
DedSecInside__TorBot-316,2,fail,fail
DedSecInside__TorBot-316,3,fail,pass
Delgan__loguru-193,1,fail,fail
Delgan__loguru-193,2,fail,pass
Delgan__loguru-193,3,fail,pass
kapicorp__kapitan-1191,1,fail,fail
